id,onsenti,shisetsu,address,lat,lng
1,二日市温泉,博多湯,筑紫野市湯町1-14-5,33.4914372,130.5149407
5,久留米温泉,天然の湯　あおき温泉,久留米市城島町上青木366-1,33.2394142,130.4111515
7,大川温泉,貴肌美人　緑の湯,大川市大字中八院241-1,33.220007,130.415536
8,博多温泉,富士の苑,福岡市南区三宅3-19-7,33.5486264,130.4321338
9,博多温泉,元祖　元湯　,福岡市南区横手3-6-18,33.5471128,130.4361168
10,古湯温泉,鶴の恩返し よみがえりの宿　鶴霊泉（かくれいせん）,富士町大字古湯875,33.3721002,130.2079904
11,武雄温泉,元湯,武雄市武雄町大字武雄7425,33.1966956,130.0147702
12,嬉野温泉,嬉泉館,嬉野市嬉野町大字下宿乙2202-18,33.0970353,129.9822873
15,熊の川温泉,元湯 熊ノ川浴場,佐賀県佐賀市富士町大字上熊川１１８,33.3659205,130.2406193
19,平戸たびら温泉,サムソンホテル なごみの湯,平戸市田平町野田免２１０―６,33.3708153,129.570166
21,小浜温泉,脇浜温泉浴場,雲仙市小浜町南本町7,32.7193374,130.2019825
24,雲仙・小地獄温泉,雲仙小地獄温泉館,雲仙市小浜町雲仙500-1,32.7316926,130.2641909
29,別府温泉,竹瓦温泉,別府市元町16-23,33.277457,131.5059543
31,鉄輪温泉,ひょうたん温泉,別府市鉄輪159-2,33.3164692,131.4764568
32,鉄輪温泉,鉄輪むし湯,別府市鉄輪上1組,33.3169109,131.4779067
34,明礬温泉,照湯温泉,別府市小倉5組1,33.3106975,131.4600805
36,明礬温泉,みょうばん湯の里,別府市明礬６組,33.3197796,131.4537477
38,亀川温泉,四の湯温泉,別府市亀川四の湯町20-4,33.322555,131.4930609
41,浜脇温泉,茶房たかさきの湯,別府市朝見1丁目２－１１,33.2716105,131.4999769
42,塚原温泉,火口乃泉,由布市湯布院町塚原1235番地,33.3131878,131.4218027
43,長湯温泉,ラムネ温泉館,竹田市直入町大字長湯7676-2,33.0684192,131.3801839
44,長湯温泉,水神之森温泉,竹田市直入町長湯２９０７ ,33.0649084,131.3810618
47,由布院温泉,温泉保養集落 束の間,由布市湯布院町川上444-3,33.2763498,131.3670202
48,由布院温泉,ゆふいん泰葉,由布市湯布院町川上1270-48,33.2748742,131.3669351
57,夜明温泉,源泉屋（旧名称：夜明薬湯温泉）,日田市川下714-3,33.3214077,130.8628231
59,筋湯温泉,うたせ大浴場,玖珠郡九重町大字湯坪筋湯640-2,33.1153267,131.1839651
60,筌の口温泉,旅館　新清館,玖珠郡九重町田野1427-1,33.163858,131.2257783
61,筌の口温泉,炭酸温泉　山里の湯,玖珠郡九重町田野1268-2,33.1666467978,131.221903824
62,七里田温泉,七里田温泉館　,竹田市久住町大字有氏4050-1,33.0702564,131.3288267
64,夷谷温泉,夷谷温泉,豊後高田市夷1851-1,33.606421,131.563207
65,赤松温泉,赤松温泉,速見郡日出町藤原赤松6371,33.405122,131.546516
66,高崎山温泉,おさるの湯,由布市狭間町高崎628-1,33.235627,131.533628
68,平山温泉,平山温泉　元湯,山鹿市平山256,33.0496859,130.6532249
72,亀の甲温泉,亀の甲温泉,菊池市泗水町田島1773,32.9386146,130.7457568
74,辰頭温泉,辰頭温泉,菊池市泗水町田島620-1,32.9321012,130.7392211
76,黒川温泉,旅館　山河,阿蘇郡南小国町大字満願寺6961-1,33.0790323,131.1321323
80,岳の湯温泉,豊礼の湯,阿蘇郡小国町西里2917,33.1530926,131.1359224
81,岳の湯温泉,わいた温泉　ゆけむり茶屋,阿蘇郡小国町大字西里岳の湯2816,33.157731,131.1362278
83,人吉温泉,華まき温泉,人吉市下原田町嵯峨里1518 ,32.2420144,130.7259179
84,人吉温泉,人吉旅館,人吉市上青井町160,32.2120422,130.7542368
86,杖立温泉,米屋別荘,阿蘇郡小国町下城4162-4,33.1814873,131.0360015
88,地獄温泉,青風荘,阿蘇郡南阿蘇村大字河陽2327,32.8602844,131.0361705
89,湯浦温泉,亀井荘,葦北郡芦北町大字湯浦66,32.27573,130.5007867
90,弓ヶ浜温泉　,大洞窟の宿　湯楽亭,上天草市大矢野町上5190-2,32.5959184,130.4055739
95,青井岳温泉,青井岳温泉　　（２０２５年６月１６日～１１月まで工事休館）,都城市山之口町山之口2123,31.8295749,131.2250277
96,北郷温泉,べっぴんの湯の宿　丸新荘,日南市北郷町大藤甲3619-2,31.6577914,131.3848302
97,あきしげゆ温泉,あきしげゆ　,えびの市大字浦146,32.0221211,130.7991321
99,湯之元温泉,湯之元温泉,西諸県郡高原町大字蒲牟田7535,31.899224,130.9936665
100,高屋温泉,高屋温泉,西都市大字鹿野田10726,32.066302,131.377573
104,硫黄谷温泉,霧島ホテル,霧島市牧園町高千穂3948,31.8979484,130.838016
105,霧島温泉,霧島湯之谷山荘,霧島市牧園町高千穂4970,31.8877011,130.8352011
106,霧島新湯温泉,霧島新燃荘　,霧島市牧園町高千穂3968,31.9028862,130.8547353
107,妙見温泉,妙見荘　田島本館,霧島市牧園町宿窪田4236,31.8117887,130.7576504
108,妙見温泉,妙見石原荘,霧島市隼人町嘉例川4376,31.8153044,130.7568182
110,日の出温泉,きのこの里,霧島市牧園町宿窪田3698,31.8260444,130.7475028
111,日当山温泉,岩戸温泉,霧島市国分姫城3261,31.7658799,130.7713177
115,鹿児島温泉,城山長寿泉,鹿児島市城山町20-1,31.5994558,130.5505633
116,古里温泉,桜島シーサイドホテル,鹿児島市古里町1078-63,31.552115,130.658726
117,大黒温泉,大黒温泉,鹿児島市伊敷8-22-20 ,31.6364246,130.518817
119,弥次ヶ湯温泉,湯治宿休憩所,指宿市十町1068,31.248629,130.6374644
122,川内高城温泉,共同湯,薩摩川内市湯田町6763,31.9154257,130.2566009
124,吉松温泉,鶴丸温泉,姶良郡湧水町鶴丸622-5,32.031105,130.748391
125,市比野温泉,割烹旅館　みどり屋,薩摩川内市樋脇町市比野2582,31.7893713,130.4048126
127,隼人温泉,浜之市ふれあいセンター富の湯,霧島市隼人町真孝390,31.725379,130.731838
128,船津温泉,船津温泉,姶良市船津2760,31.750709,130.601242
130,湯ノ本温泉,山口温泉,長崎県壱岐市勝本町本宮南触400,33.811789,129.684498
132,壁湯天然洞窟温泉,旅館　福元屋,玖珠郡九重町大字町田62-1,33.20493,131.168406
133,山鹿温泉,さくら湯　,山鹿市山鹿1番地1,33.014382,130.688945
135,小林温泉,コスモス温泉,小林市南西方1130-79,31.974858,130.936847
137,白鳥温泉,白鳥温泉上湯,えびの市末永1470,31.975153,130.830279
138,白鳥温泉,白鳥温泉下湯,えびの市末永1470,31.979714,130.830435
140,海潟温泉,江之島温泉　共同浴場,垂水市海潟541-1,31.523708,130.698461
142,湯之元温泉,田之湯温泉,日置市東市来町湯田3077,31.6718459902,130.332288711
143,長湯温泉,山の湯かずよ,竹田市直入町大字長湯2405,33.0644093196,131.368405475
148,波佐見温泉,はさみ温泉 湯治楼,東彼杵郡波佐見町長野郷558-3,33.1150641169,129.868695299
150,久留米温泉,湯の坂　久留米温泉,久留米市野中町湯の坂1235,33.3091446849,130.530058667
151,船小屋温泉,川の駅船小屋　恋ぼたる　温泉館,筑後市大字尾島298-2,33.183035,130.502717
152,くにさき六郷温泉,花いろ温泉,大分県豊後高田市美和1335-1,33.551184,131.45872
155,京町温泉,京町観光ホテル,えびの市大字向江669,32.04894,130.766728
